PowerSource,SourceType
,Unknown
(Beta) 1Up USA CPR-A-2000 6 Pockets,Virtual
(Beta) 1Up USA CPR-A-2000 Black Flywheel,Virtual
(Beta) BlackBurn Basic Mag 3 level 3,Virtual
(Beta) BlackBurn Mag 6 level 4,Virtual
(Beta) CycleOps Fluid 2,Virtual
(Beta) Cycleops Mag 5,Virtual
(Beta) CycleOps SuperMagneto Pro 2 (Road),Virtual
(Beta) CycleOps SuperMagneto Pro 3 (Interval),Virtual
(Beta) CycleOps SuperMagneto Pro 4 (Mountain),Virtual
(Beta) Elite Arion Mag Rollers 0,Virtual
(Beta) Elite Arion Mag Rollers 1,Virtual
(Beta) Elite Arion Mag Rollers 2,Virtual
(Beta) Elite Crono HydroMag 2,Virtual
(Beta) Elite Crono HydroMag 3,Virtual
(Beta) Elite Crono Mag 1,Virtual
(Beta) Elite Crono Mag 5,Virtual
(Beta) Elite Hydromag 2,Virtual
(Beta) Elite Real Tour [Medium],Virtual
(Beta) Elite Volare Mag Alu 3,Virtual
(Beta) Kreitler 2.25 Drums [Kreitler],Virtual
(Beta) Kreitler 3.0 Drums,Virtual
"(Beta) Kreitler 4.5 drums, 1/2 fan, flywheel",Virtual
(Beta) Lemond Revolution,Virtual
(Beta) Tacx Antares Rollers,Virtual
(Beta) Tacx Bushido 0.0% slope,Virtual
(Beta) Tacx Flow 0%,Virtual
(Beta) Tacx Flow 1%,Virtual
(Beta) Tacx Flow 2%,Virtual
(Beta) Travel Trac Century Fluid ,Virtual
(Beta) TravelTrac Fluid+ 2,Virtual
ANT+ Trainer (FE-C),Meter
Ascent Fluid (Simple),Virtual
Ascent Mag 3-L (level 3),Virtual
Cascade FluidPro,Virtual
CompuTrainer,Meter
CycleOps 400 Pro,Virtual
CycleOps Aluminum Rollers (Level 2),Virtual
CycleOps Aluminum Rollers (Level 3),Virtual
CycleOps Aluminum Rollers (Level 5) [Hardest],Virtual
CycleOps JetFluid Pro [CycleOps - Recommended],Virtual
CycleOps JetFluid Pro [powertap],Meter
CycleOps Mag 3 [powertap],Meter
CycleOps Mag 4 [powertap],Meter
CycleOps Magneto (2005),Virtual
CycleOps Magneto [Cycleops],Virtual
CycleOps PowerBeam Pro,Meter
CycleOps Wind,Virtual
CycleOps Wind (mid elevation) ,Virtual
CycleOps Wind (sea level),Virtual
CycleTEK M1,Virtual
Elite Arion Rollers,Virtual
Elite Crono Fluid Elastogel,Virtual
Elite Fluid,Virtual
Elite Fluid Primo  (80kg/176lb),Virtual
Elite HydroForce 1,Virtual
Elite Mag 3 [PowerTap],Meter
Elite Mag 4 [PowerTap],Meter
Elite Mag Elastogel Level 2,Virtual
Elite Mag Elastogel Level 3,Virtual
Elite Mag Speed Alu 3,Virtual
Elite Mag Speed Alu 4,Virtual
Elite Mag Speed Alu 5,Virtual
Elite Novo Force 1,Virtual
Elite Power Fluid Ritmo [powertap],Meter
Elite Qubo Digital 9,Virtual
Elite Qubo Fluid,Virtual
Elite Qubo Fluid+ 1,Virtual
Elite Qubo Fluid+ 3,Virtual
Elite Qubo Hydromag 3 (Pre 2014),Virtual
Elite Qubo Power Fluid,Virtual
Elite SuperCrono Fluid,Virtual
Elite SuperCrono Mag Elastogel 2,Virtual
Elite SuperCrono Mag Elastogel 3,Virtual
Elite SuperCrono Power Fluid,Virtual
Elite SuperCrono Power Fluid (new),Virtual
Elite SuperCrono Powermag 2,Virtual
Elite SuperCrono Powermag 3,Virtual
Elite SuperCrono Powermag 4,Virtual
Elite Turbo Muin (Elite),Virtual
Elite Turbo Muin (Pre 2013),Virtual
Elite Turbo Muin (Quarq),Meter
Elite Volare Fluid,Virtual
Elite Volare Mag Force Elastogel 2,Virtual
Elite Volare Mag Lite Max,Virtual
Giant Cyclotron Fluid ST,Virtual
Giant Cyclotron Mag,Virtual
Inline Fluid [powertap],Meter
inRide,Meter
InRide by Wahoo,Meter
"Inside Ride E-Motion Rollers @1, 180#",Virtual
JB (Jet Black) M1/M1 Pro (Level 5),Virtual
JB (Jet Black) Z1,Virtual
JetBlack JBT-Z1FLUID Z1 trainer,Virtual
KICKR,Meter
Kickr (ANT+),Meter
KICKR SNAP,Meter
Kinetic InRide,Meter
Kurt Kinetic Cyclone,Virtual
Kurt Kinetic Mag 4,Virtual
Kurt Kinetic Mag 9,Virtual
Kurt Kinetic Road Machine,Virtual
Kurt Kinetic Rock and Roll,Virtual
Minoura 850 6 (H),Virtual
Minoura H-MAG 2,Virtual
Minoura M80-R/M70-R/B60 0 (L),Virtual
Minoura M80-R/M70-R/B60 3,Virtual
Minoura M80-R/M70-R/B60 6 (H),Virtual
Minoura Mag 500/850LW 1,Virtual
Minoura Mag 500/850LW 2,Virtual
Minoura Mag 500/850LW 4,Virtual
Minoura MagteqsTwin/LR760 4,Virtual
Minoura MagteqsTwin/LR760 5,Virtual
Minoura V270/V130/LR340/LR540 1,Virtual
Minoura V270/V130/LR340/LR540 2,Virtual
Minoura V270/V130/LR340/LR540 6 (H),Virtual
Minoura VFS,Virtual
Misuro B+,Virtual
Nashbar Fluid,Virtual
Nashbar Fluid 3,Virtual
Planet X Resist Rollers,Virtual
Power Beam Pro,Meter
Power Meter,Meter
Power Meter (4iiiis),Meter
Power Meter (ANT+ Crank Torque),Meter
Power Meter (ANT+ CTF),Meter
Power Meter (ANT+ FEC),Meter
Power Meter (ANT+ Wheel),Meter
Power Meter (ANT+),Meter
Power Meter (cardiosport),Meter
Power Meter (garmin),Meter
Power Meter (lemond_fitness),Meter
Power Meter (pioneer),Meter
Power Meter (quarq),Meter
Power Meter (rotor),Meter
Power Meter (saris),Meter
Power Meter (saxonar),Meter
Power Meter (srm),Meter
Power Meter (stages_cycling),Meter
Power Meter (wahoo_fitness),Meter
Power Meter Bluetooth,Meter
PowerBeam Pro,Meter
powertap P1.L,Meter
RavX TX2-4 (Level 4),Virtual
RavX TX2-4 (Level 5),Virtual
SportCrafters Omnium,Virtual
SportCrafters ZRO 100 No-Resistance Rollers,Virtual
Stages Power,Meter
Tacx Blue Matic 6,Virtual
Tacx Blue Motion 5,Virtual
Tacx Blue Motion 6,Virtual
Tacx Blue Twist 3,Virtual
Tacx Booster 1,Virtual
Tacx Booster 2,Virtual
Tacx Booster 3,Virtual
Tacx Booster 4,Virtual
Tacx Booster 5,Virtual
Tacx Booster 7,Virtual
Tacx CycleForce One (2),Virtual
Tacx CycleForce One (3),Virtual
Tacx CycleForce Swing 3,Virtual
Tacx Flow T2200 0,Virtual
Tacx Flow T2200 2,Virtual
Tacx Flow T2200 3,Virtual
Tacx Flow T2200 4,Virtual
Tacx Flow T2200 5,Virtual
Tacx i-Magic 3,Virtual
Tacx Neo 05466,Meter
Tacx Satori [powertap] 5,Meter
Tacx Satori [powertap] 7,Meter
Tacx Satori 12283,Meter
Tacx Satori 2,Meter
Tacx Satori 3,Meter
Tacx Satori 4,Meter
Tacx Satori 5,Meter
Tacx Satori 6,Meter
Tacx Sirius 1,Virtual
Tacx Sirius 2,Virtual
Tacx Sirius 5,Virtual
Tacx Speedmatic T1450 (4),Virtual
Tacx Speedmatic T1810 (Level 6),Virtual
Tacx T1820 Magnetic (Level 4),Virtual
Tacx T1820 Magnetic (Level 5),Virtual
Tacx Vortex 00240,Virtual
Tacx Vortex 14816,Virtual
Tacx Vortex 15139,Virtual
Tacx Vortex 18838,Virtual
Tacx Vortex 20451,Virtual
TravelTrac Comp Fluid Trainer,Virtual
TravelTrac Comp Mag+ 2,Virtual
TravelTrac Fluid,Virtual
TruTrainer Rollers w/ Load Bar,Virtual
Wahoo Kickr,Meter
Wahoo KICKR,Meter
Wahoo Kickr ANT+,Meter